principal_component,explained_variance_ratio,cumulative_explained_variance
PC385,5.491012618976102e-05,0.9961932237839859
PC386,5.413636649502371e-05,0.9962473601504809
PC387,5.37420242318866e-05,0.9963011021747128
PC388,5.346430981467311e-05,0.9963545664845275
PC389,5.313160799692653e-05,0.9964076980925244
PC390,5.2607941844575603e-05,0.996460306034369
PC391,5.224511629035416e-05,0.9965125511506593
PC392,5.2100147088995395e-05,0.9965646512977483
PC393,5.190199517387345e-05,0.9966165532929222
PC394,5.173006782973704e-05,0.996668283360752
PC395,5.142126210461641e-05,0.9967197046228566
PC396,5.090480753002772e-05,0.9967706094303866
PC397,5.029659862047977e-05,0.9968209060290071
PC398,5.004340648389243e-05,0.9968709494354909
PC399,4.9715046253003354e-05,0.9969206644817439
PC400,4.935597408208063e-05,0.996970020455826
PC401,4.918502726309988e-05,0.9970192054830891
PC402,4.8560409888426195e-05,0.9970677658929775
PC403,4.848783570890823e-05,0.9971162537286864
PC404,4.810587662113808e-05,0.9971643596053076
PC405,4.7799492116719826e-05,0.9972121590974243
PC406,4.742856040101182e-05,0.9972595876578253
PC407,4.6752656687532717e-05,0.9973063403145128
PC408,4.623634533393397e-05,0.9973525766598468
PC409,4.557143450151491e-05,0.9973981480943483
PC410,4.468358485707386e-05,0.9974428316792054
PC411,4.424429014934227e-05,0.9974870759693548
PC412,4.3966286506280606e-05,0.9975310422558611
PC413,4.365264795418908e-05,0.9975746949038152
PC414,4.283033281414234e-05,0.9976175252366294
PC415,4.2561384682507035e-05,0.9976600866213119
PC416,4.196594075156563e-05,0.9977020525620635
PC417,4.131716969070008e-05,0.9977433697317541
PC418,4.0945915310207756e-05,0.9977843156470644
PC419,4.052365778807796e-05,0.9978248393048524
PC420,3.994237881186038e-05,0.9978647816836643
PC421,3.938789198069841e-05,0.997904169575645
PC422,3.9306556832235275e-05,0.9979434761324772
PC423,3.911311402407623e-05,0.9979825892465013
PC424,3.895570637400138e-05,0.9980215449528753
