group_variable,group_value,sessions,actual_future_purchase_rate,positive_prediction_rate,precision,recall_true_positive_rate,false_positive_rate,false_negative_rate,f1_score,accuracy,true_positives,false_positives,false_negatives,true_negatives,positive_prediction_rate_percent,actual_future_purchase_rate_percent,risk_view
early_event_gap_band,Very long gap,1776,0.08783783783783784,0.03209459459459459,0.45614035087719296,0.16666666666666666,0.019135802469135803,0.8333333333333334,0.24413145539906103,0.9093468468468469,26,31,130,1589,3.209459459459459,8.783783783783784,Highest false negative rate groups
brand_clean_first_grouped,adidas,345,0.034782608695652174,0.02608695652173913,0.2222222222222222,0.16666666666666666,0.021021021021021023,0.8333333333333334,0.19047619047619047,0.9507246376811594,2,7,10,326,2.608695652173913,3.4782608695652173,Highest false negative rate groups
brand_clean_second_grouped,adidas,331,0.03625377643504532,0.027190332326283987,0.2222222222222222,0.16666666666666666,0.0219435736677116,0.8333333333333334,0.19047619047619047,0.9486404833836858,2,7,10,312,2.719033232628399,3.625377643504532,Highest false negative rate groups
early_event_gap_band,Long gap,3857,0.09618874773139746,0.048742546020222974,0.5106382978723404,0.2587601078167116,0.026391279403327597,0.7412398921832885,0.3434704830053667,0.9048483277158413,96,92,275,3394,4.874254602022297,9.618874773139746,Highest false negative rate groups
first_category_group,computers,473,0.12050739957716702,0.06553911205073996,0.6129032258064516,0.3333333333333333,0.028846153846153848,0.6666666666666666,0.4318181818181818,0.8942917547568711,19,12,38,404,6.553911205073996,12.050739957716702,Highest false negative rate groups
second_category_group,computers,432,0.13194444444444445,0.06944444444444445,0.6333333333333333,0.3333333333333333,0.029333333333333333,0.6666666666666666,0.4367816091954023,0.8865740740740741,19,11,38,364,6.944444444444445,13.194444444444445,Highest false negative rate groups
first_category_group,furniture,729,0.13443072702331962,0.08916323731138547,0.5538461538461539,0.3673469387755102,0.04595879556259905,0.6326530612244898,0.44171779141104295,0.8751714677640604,36,29,62,602,8.916323731138547,13.443072702331962,Highest false negative rate groups
first_price_band,Lower-middle price quartile,3496,0.11899313501144165,0.08037757437070939,0.5551601423487544,0.375,0.040584415584415584,0.625,0.44763271162123386,0.8898741418764302,156,125,260,2955,8.037757437070939,11.899313501144166,Highest false negative rate groups
second_category_group,apparel,1565,0.09840255591054313,0.06645367412140575,0.5576923076923077,0.37662337662337664,0.03260099220411056,0.6233766233766234,0.4496124031007752,0.9092651757188498,58,46,96,1365,6.645367412140575,9.840255591054312,Highest false negative rate groups
second_category_group,electronics,1305,0.1318007662835249,0.08199233716475096,0.6074766355140186,0.37790697674418605,0.037069726390114736,0.622093023255814,0.4659498207885305,0.885823754789272,65,42,107,1091,8.199233716475096,13.180076628352491,Highest false negative rate groups
second_category_group,furniture,743,0.1278600269179004,0.08613728129205922,0.5625,0.37894736842105264,0.043209876543209874,0.6210526315789474,0.4528301886792453,0.882907133243607,36,28,59,620,8.613728129205922,12.78600269179004,Highest false negative rate groups
first_category_group,apparel,1526,0.09895150720838794,0.0674967234600262,0.5631067961165048,0.3841059602649007,0.03272727272727273,0.6158940397350994,0.4566929133858268,0.90956749672346,58,45,93,1330,6.749672346002621,9.895150720838794,Highest false negative rate groups
