transformed_feature,l1_coefficient,absolute_coefficient,selected_by_l1,source_feature,association_direction
categorical__category_code_clean_first_furniture.universal.light,0.0,0.0,False,category_code_clean_first,Coefficient shrunk to zero
categorical__category_code_clean_first_kids.swing,0.0,0.0,False,category_code_clean_first,Coefficient shrunk to zero
categorical__category_code_clean_first_kids.toys,0.0,0.0,False,category_code_clean_first,Coefficient shrunk to zero
categorical__category_code_clean_first_sport.bicycle,0.0,0.0,False,category_code_clean_first,Coefficient shrunk to zero
categorical__category_code_clean_first_sport.ski,0.0,0.0,False,category_code_clean_first,Coefficient shrunk to zero
categorical__category_code_clean_first_sport.snowboard,0.0,0.0,False,category_code_clean_first,Coefficient shrunk to zero
categorical__category_code_clean_first_sport.tennis,0.0,0.0,False,category_code_clean_first,Coefficient shrunk to zero
categorical__category_code_clean_first_unknown,0.0,0.0,False,category_code_clean_first,Coefficient shrunk to zero
categorical__category_code_clean_first_infrequent_sklearn,0.0,0.0,False,category_code_clean_first,Coefficient shrunk to zero
categorical__category_code_clean_second_accessories.wallet,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_apparel.costume,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_apparel.jeans,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_apparel.jumper,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_apparel.pajamas,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_apparel.shirt,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_apparel.shoes.espadrilles,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_apparel.shoes.keds,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_apparel.shoes.moccasins,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_apparel.shoes.sandals,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_apparel.shoes.slipons,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_apparel.shoes.step_ins,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_apparel.sock,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_apparel.trousers,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_apparel.tshirt,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_apparel.underwear,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_appliances.environment.air_conditioner,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_appliances.environment.air_heater,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_appliances.environment.climate,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_appliances.environment.vacuum,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_appliances.kitchen.blender,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_appliances.kitchen.coffee_grinder,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_appliances.kitchen.dishwasher,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_appliances.kitchen.grill,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_appliances.kitchen.hob,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_appliances.kitchen.hood,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_appliances.kitchen.juicer,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_appliances.kitchen.kettle,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_appliances.kitchen.oven,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_appliances.kitchen.toster,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_appliances.kitchen.washer,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_appliances.personal.massager,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_appliances.personal.scales,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_appliances.sewing_machine,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_auto.accessories.alarm,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_auto.accessories.compressor,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_auto.accessories.radar,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_computers.components.cooler,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_computers.components.motherboard,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_computers.components.power_supply,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_computers.ebooks,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_computers.notebook,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_computers.peripherals.mouse,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_computers.peripherals.printer,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_construction.components.faucet,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_construction.tools.generator,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_construction.tools.pump,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_construction.tools.saw,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_country_yard.cultivator,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_electronics.audio.acoustic,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_electronics.audio.microphone,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_electronics.audio.music_tools.piano,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_electronics.audio.subwoofer,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_electronics.camera.photo,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_electronics.camera.video,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_electronics.smartphone,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_electronics.tablet,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_electronics.telephone,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_electronics.video.projector,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_electronics.video.tv,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_furniture.bedroom.bed,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_furniture.kitchen.chair,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_furniture.living_room.cabinet,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_furniture.living_room.chair,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_furniture.universal.light,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_kids.skates,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_kids.toys,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_sport.snowboard,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_sport.tennis,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__category_code_clean_second_unknown,0.0,0.0,False,category_code_clean_second,Coefficient shrunk to zero
categorical__brand_clean_first_a-case,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_acer,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_adidas,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_aerocool,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_almacom,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_alteco,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_amd,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_arg,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
